Pulse Kanan,Pulse Kiri,Jarak Kanan,Jarak Kiri
0,0,0.00,0.00
0,0,0.00,0.00
0,0,0.00,0.00
0,0,0.00,0.00
0,0,0.00,0.00
0,0,0.00,0.00
0,0,0.00,0.00
0,0,0.00,0.00
0,0,0.00,0.00
0,1,0.00,0.01
0,5,0.00,0.03
0,15,0.00,0.08
0,25,0.00,0.13
0,36,0.00,0.19
0,47,0.00,0.25
0,59,0.00,0.31
0,70,0.00,0.37
0,81,0.00,0.42
0,92,0.00,0.48
0,103,0.00,0.54
0,114,0.00,0.60
0,125,0.00,0.65
0,137,0.00,0.72
0,148,0.00,0.77
0,159,0.00,0.83
0,170,0.00,0.89
0,181,0.00,0.95
0,192,0.00,1.00
0,204,0.00,1.07
0,215,0.00,1.13
0,226,0.00,1.18
0,237,0.00,1.24
0,248,0.00,1.30
0,259,0.00,1.36
0,271,0.00,1.42
0,282,0.00,1.48
0,293,0.00,1.53
0,304,0.00,1.59
0,315,0.00,1.65
0,327,0.00,1.71
0,338,0.00,1.77
0,349,0.00,1.83
0,360,0.00,1.88
0,372,0.00,1.95
0,383,0.00,2.00
0,394,0.00,2.06
0,405,0.00,2.12
0,416,0.00,2.18
0,428,0.00,2.24
0,439,0.00,2.30
0,450,0.00,2.35
0,461,0.00,2.41
0,473,0.00,2.48
0,484,0.00,2.53
0,495,0.00,2.59
0,506,0.00,2.65
0,517,0.00,2.71
0,529,0.00,2.77
0,540,0.00,2.83
0,551,0.00,2.88
0,562,0.00,2.94
0,574,0.00,3.00
0,585,0.00,3.06
0,596,0.00,3.12
0,607,0.00,3.18
0,619,0.00,3.24
0,630,0.00,3.30
0,641,0.00,3.35
0,652,0.00,3.41
0,664,0.00,3.47
0,675,0.00,3.53
0,686,0.00,3.59
0,697,0.00,3.65
0,709,0.00,3.71
0,720,0.00,3.77
0,731,0.00,3.83
0,742,0.00,3.88
0,753,0.00,3.94
0,765,0.00,4.00
0,776,0.00,4.06
0,787,0.00,4.12
0,798,0.00,4.18
0,810,0.00,4.24
0,821,0.00,4.30
0,832,0.00,4.35
0,843,0.00,4.41
0,855,0.00,4.47
0,866,0.00,4.53
0,877,0.00,4.59
0,889,0.00,4.65
0,900,0.00,4.71
0,911,0.00,4.77
0,923,0.00,4.83
0,934,0.00,4.89
0,945,0.00,4.95
0,957,0.00,5.01
0,968,0.00,5.07
0,979,0.00,5.12
0,991,0.00,5.19
0,1002,0.00,5.24
0,1013,0.00,5.30
0,1024,0.00,5.36
0,1036,0.00,5.42
0,1047,0.00,5.48
0,1058,0.00,5.54
0,1070,0.00,5.60
0,1081,0.00,5.66
0,1092,0.00,5.71
0,1103,0.00,5.77
0,1115,0.00,5.84
0,1126,0.00,5.89
0,1137,0.00,5.95
0,1149,0.00,6.01
0,1160,0.00,6.07
0,1171,0.00,6.13
0,1183,0.00,6.19
0,1194,0.00,6.25
0,1205,0.00,6.31
0,1217,0.00,6.37
0,1228,0.00,6.43
0,1239,0.00,6.48
0,1251,0.00,6.55
0,1262,0.00,6.60
0,1273,0.00,6.66
0,1285,0.00,6.72
0,1296,0.00,6.78
0,1307,0.00,6.84
0,1318,0.00,6.90
0,1330,0.00,6.96
0,1341,0.00,7.02
0,1352,0.00,7.08
0,1363,0.00,7.13
0,1375,0.00,7.20
0,1386,0.00,7.25
0,1397,0.00,7.31
0,1409,0.00,7.37
0,1420,0.00,7.43
0,1431,0.00,7.49
0,1443,0.00,7.55
0,1454,0.00,7.61
0,1465,0.00,7.67
0,1477,0.00,7.73
0,1488,0.00,7.79
0,1499,0.00,7.84
0,1511,0.00,7.91
0,1522,0.00,7.97
0,1533,0.00,8.02
0,1545,0.00,8.09
0,1556,0.00,8.14
0,1567,0.00,8.20
0,1579,0.00,8.26
0,1590,0.00,8.32
0,1601,0.00,8.38
0,1613,0.00,8.44
0,1624,0.00,8.50
0,1635,0.00,8.56
0,1647,0.00,8.62
0,1658,0.00,8.68
0,1669,0.00,8.73
0,1681,0.00,8.80
0,1692,0.00,8.85
0,1703,0.00,8.91
0,1715,0.00,8.98
0,1726,0.00,9.03
0,1737,0.00,9.09
0,1749,0.00,9.15
0,1760,0.00,9.21
0,1771,0.00,9.27
0,1783,0.00,9.33
0,1794,0.00,9.39
0,1805,0.00,9.45
0,1817,0.00,9.51
0,1828,0.00,9.57
0,1840,0.00,9.63
0,1851,0.00,9.69
0,1863,0.00,9.75
0,1874,0.00,9.81
0,1885,0.00,9.86
0,1897,0.00,9.93
0,1908,0.00,9.99
0,1919,0.00,10.04
0,1931,0.00,10.11
0,1942,0.00,10.16
0,1954,0.00,10.23
0,1965,0.00,10.28
0,1976,0.00,10.34
0,1988,0.00,10.40
0,1999,0.00,10.46
0,2011,0.00,10.52
0,2022,0.00,10.58
0,2033,0.00,10.64
0,2045,0.00,10.70
